bin1	bin2	loop_id	celltype
chr12-35320000-35330000	chr12-35410000-35420000	mouse_union_92973	L2_3_IT
chr12-35320000-35330000	chr12-35470000-35480000	mouse_union_92974	SNCG
chr12-35320000-35330000	chr12-35500000-35510000	mouse_union_92975	SNCG
chr12-35320000-35330000	chr12-35610000-35620000	mouse_union_92976	Endo
chr12-35360000-35370000	chr12-35550000-35560000	mouse_union_92977	LAMP5
chr12-35380000-35390000	chr12-35500000-35510000	mouse_union_92978	SST
chr12-35380000-35390000	chr12-35510000-35520000	mouse_union_92979	L5_IT, L6_CT, PVALB
chr12-35380000-35390000	chr12-35700000-35710000	mouse_union_92980	PVALB
chr12-35380000-35390000	chr12-36000000-36010000	mouse_union_92981	L5_IT
chr12-35390000-35400000	chr12-35470000-35480000	mouse_union_92982	MGC
chr12-35390000-35400000	chr12-35490000-35500000	mouse_union_92983	L4_5_IT
chr12-35390000-35400000	chr12-35890000-35900000	mouse_union_92984	ASC
chr12-35390000-35400000	chr12-36020000-36030000	mouse_union_92985	PVALB
chr12-35410000-35420000	chr12-35480000-35490000	mouse_union_92986	L6_IT
chr12-35410000-35420000	chr12-35490000-35500000	mouse_union_92987	ASC
chr12-35430000-35440000	chr12-35490000-35500000	mouse_union_92988	L5_ET
chr12-35440000-35450000	chr12-35500000-35510000	mouse_union_92989	L2_3_IT
chr12-35460000-35470000	chr12-35520000-35530000	mouse_union_92990	L5_IT
chr12-35490000-35500000	chr12-35700000-35710000	mouse_union_92991	L5_6_NP
chr12-35490000-35500000	chr12-35990000-36000000	mouse_union_92992	L5_IT
chr12-35500000-35510000	chr12-35650000-35660000	mouse_union_92994	SST
chr12-35510000-35520000	chr12-35670000-35680000	mouse_union_92995	L4_5_IT
chr12-35510000-35520000	chr12-35950000-35960000	mouse_union_92996	L4_5_IT, MGC
chr12-35510000-35520000	chr12-35990000-36000000	mouse_union_92997	L6_IT
chr12-35520000-35530000	chr12-35680000-35690000	mouse_union_92998	PVALB
chr12-35520000-35530000	chr12-35890000-35900000	mouse_union_92999	ASC, MGC
chr12-35520000-35530000	chr12-35990000-36000000	mouse_union_93000	ASC, L2_3_IT
chr12-35520000-35530000	chr12-36020000-36030000	mouse_union_93001	PVALB
chr12-35530000-35540000	chr12-35610000-35620000	mouse_union_93002	ASC
chr12-35530000-35540000	chr12-35620000-35630000	mouse_union_93003	L4_5_IT
chr12-35530000-35540000	chr12-35670000-35680000	mouse_union_93004	ASC, L6_IT
chr12-35530000-35540000	chr12-35690000-35700000	mouse_union_93005	L5_IT, L6_CT
chr12-35530000-35540000	chr12-35890000-35900000	mouse_union_93006	Endo
chr12-35540000-35550000	chr12-35610000-35620000	mouse_union_93007	L2_3_IT
chr12-35540000-35550000	chr12-35650000-35660000	mouse_union_93008	MGC
chr12-35540000-35550000	chr12-35660000-35670000	mouse_union_93009	L5_ET
chr12-35540000-35550000	chr12-35680000-35690000	mouse_union_93010	L2_3_IT
chr12-35550000-35560000	chr12-35630000-35640000	mouse_union_93011	L5_IT
chr12-35560000-35570000	chr12-35620000-35630000	mouse_union_93012	L6_CT
chr12-35560000-35570000	chr12-35660000-35670000	mouse_union_93013	SST
chr12-35610000-35620000	chr12-35670000-35680000	mouse_union_93015	SST
chr12-35620000-35630000	chr12-35680000-35690000	mouse_union_93016	ODC
chr12-35890000-35900000	chr12-35990000-36000000	mouse_union_93021	ASC, ODC
chr12-35890000-35900000	chr12-36010000-36020000	mouse_union_93022	OPC, SST
chr12-35890000-35900000	chr12-36190000-36200000	mouse_union_93023	L2_3_IT, L4_5_IT, L6_CT, L6_IT, OPC
chr12-35890000-35900000	chr12-36370000-36380000	mouse_union_93024	L4_5_IT
chr12-35890000-35900000	chr12-36600000-36610000	mouse_union_93025	OPC
chr12-35890000-35900000	chr12-37430000-37440000	mouse_union_93026	L4_5_IT
chr12-35890000-35900000	chr12-37440000-37450000	mouse_union_93027	L6_CT
chr12-35890000-35900000	chr12-39500000-39510000	mouse_union_93028	L6b
chr12-35900000-35910000	chr12-35990000-36000000	mouse_union_93031	L6_IT, LAMP5, PVALB
chr12-35900000-35910000	chr12-36000000-36010000	mouse_union_93032	L2_3_IT, L4_5_IT, L5_6_NP
chr12-35900000-35910000	chr12-36190000-36200000	mouse_union_93033	L5_IT
chr12-35900000-35910000	chr12-36530000-36540000	mouse_union_93034	L4_5_IT
chr12-35900000-35910000	chr12-36580000-36590000	mouse_union_93035	L6_CT
chr12-35900000-35910000	chr12-36590000-36600000	mouse_union_93036	L5_IT
chr12-35910000-35920000	chr12-35970000-35980000	mouse_union_93037	SNCG
chr12-35930000-35940000	chr12-35990000-36000000	mouse_union_93038	L5_IT
chr12-35940000-35950000	chr12-37450000-37460000	mouse_union_93039	L6_CT
chr12-36020000-36030000	chr12-36190000-36200000	mouse_union_93040	L4_5_IT, L5_IT
chr12-36200000-36210000	chr12-36550000-36560000	mouse_union_93041	L5_6_NP
chr12-36200000-36210000	chr12-37700000-37710000	mouse_union_93042	L5_ET
chr12-36210000-36220000	chr12-36390000-36400000	mouse_union_93043	L5_IT
chr12-36210000-36220000	chr12-36450000-36460000	mouse_union_93044	L6_IT, VIP
chr12-36210000-36220000	chr12-36520000-36530000	mouse_union_93045	L2_3_IT
chr12-36210000-36220000	chr12-36530000-36540000	mouse_union_93046	L6_CT
chr12-36210000-36220000	chr12-36580000-36590000	mouse_union_93047	LAMP5
chr12-36210000-36220000	chr12-37440000-37450000	mouse_union_93048	L6_IT
chr12-36210000-36220000	chr12-37590000-37600000	mouse_union_93049	L5_ET
chr12-36210000-36220000	chr12-37870000-37880000	mouse_union_93050	OPC
chr12-36210000-36220000	chr12-38100000-38110000	mouse_union_93051	L5_ET
chr12-36220000-36230000	chr12-36380000-36390000	mouse_union_93052	L6_CT, ODC
chr12-36220000-36230000	chr12-36440000-36450000	mouse_union_93053	L2_3_IT, L4_5_IT
chr12-36220000-36230000	chr12-36450000-36460000	mouse_union_93054	L6_CT
chr12-36220000-36230000	chr12-36520000-36530000	mouse_union_93055	ODC
chr12-36220000-36230000	chr12-36540000-36550000	mouse_union_93056	L4_5_IT
chr12-36220000-36230000	chr12-36560000-36570000	mouse_union_93057	PVALB
chr12-36220000-36230000	chr12-36590000-36600000	mouse_union_93058	PVALB
chr12-36220000-36230000	chr12-36790000-36800000	mouse_union_93059	OPC
chr12-36220000-36230000	chr12-37070000-37080000	mouse_union_93060	OPC
chr12-36220000-36230000	chr12-37300000-37310000	mouse_union_93061	L4_5_IT
chr12-36220000-36230000	chr12-37430000-37440000	mouse_union_93062	L4_5_IT
chr12-36220000-36230000	chr12-37450000-37460000	mouse_union_93063	L2_3_IT, L5_IT, L6_CT, OPC
chr12-36220000-36230000	chr12-37460000-37470000	mouse_union_93064	PVALB
chr12-36220000-36230000	chr12-37550000-37560000	mouse_union_93065	L6_IT
chr12-36220000-36230000	chr12-37570000-37580000	mouse_union_93066	L2_3_IT, L4_5_IT, L6_CT
chr12-36220000-36230000	chr12-37640000-37650000	mouse_union_93067	L6_CT, OPC
chr12-36220000-36230000	chr12-37970000-37980000	mouse_union_93068	L5_6_NP
chr12-36220000-36230000	chr12-38100000-38110000	mouse_union_93069	L6_CT, SST
chr12-36230000-36240000	chr12-36310000-36320000	mouse_union_93070	L2_3_IT, ODC
chr12-36230000-36240000	chr12-36360000-36370000	mouse_union_93071	PVALB
chr12-36230000-36240000	chr12-36370000-36380000	mouse_union_93072	L4_5_IT, LAMP5, OPC
chr12-36230000-36240000	chr12-36380000-36390000	mouse_union_93073	L2_3_IT, VIP
chr12-36230000-36240000	chr12-36440000-36450000	mouse_union_93074	ASC
chr12-36230000-36240000	chr12-36520000-36530000	mouse_union_93075	L6_IT
chr12-36230000-36240000	chr12-36530000-36540000	mouse_union_93076	VIP
chr12-36230000-36240000	chr12-36540000-36550000	mouse_union_93077	ASC
chr12-36230000-36240000	chr12-36560000-36570000	mouse_union_93078	OPC
chr12-36230000-36240000	chr12-36570000-36580000	mouse_union_93079	L5_IT
chr12-36230000-36240000	chr12-36780000-36790000	mouse_union_93080	ASC, PVALB
chr12-36230000-36240000	chr12-37300000-37310000	mouse_union_93081	L5_IT
chr12-36230000-36240000	chr12-37430000-37440000	mouse_union_93082	SST
chr12-36230000-36240000	chr12-37450000-37460000	mouse_union_93083	LAMP5
chr12-36230000-36240000	chr12-37570000-37580000	mouse_union_93084	LAMP5
chr12-36230000-36240000	chr12-37700000-37710000	mouse_union_93085	L6_CT
chr12-36230000-36240000	chr12-37740000-37750000	mouse_union_93086	L5_6_NP
chr12-36230000-36240000	chr12-38110000-38120000	mouse_union_93087	OPC
chr12-36240000-36250000	chr12-36310000-36320000	mouse_union_93088	L5_ET, OPC
chr12-36240000-36250000	chr12-36330000-36340000	mouse_union_93089	L5_IT
chr12-36240000-36250000	chr12-36410000-36420000	mouse_union_93090	L5_ET
chr12-36240000-36250000	chr12-36440000-36450000	mouse_union_93091	L5_ET
chr12-36250000-36260000	chr12-36310000-36320000	mouse_union_93092	L6_IT
chr12-36250000-36260000	chr12-36380000-36390000	mouse_union_93093	L6_IT
chr12-36250000-36260000	chr12-37450000-37460000	mouse_union_93094	Endo
chr12-36250000-36260000	chr12-37560000-37570000	mouse_union_93095	L5_IT
chr12-36250000-36260000	chr12-37640000-37650000	mouse_union_93096	L5_IT
chr12-36250000-36260000	chr12-40160000-40170000	mouse_union_93097	L6b
chr12-36290000-36300000	chr12-36370000-36380000	mouse_union_93098	L4_5_IT
chr12-36290000-36300000	chr12-36380000-36390000	mouse_union_93099	ODC
chr12-36300000-36310000	chr12-36370000-36380000	mouse_union_93100	L2_3_IT
chr12-36310000-36320000	chr12-36380000-36390000	mouse_union_93101	L5_IT
chr12-36310000-36320000	chr12-36440000-36450000	mouse_union_93102	L2_3_IT
chr12-36310000-36320000	chr12-37450000-37460000	mouse_union_93103	L4_5_IT
chr12-36320000-36330000	chr12-38110000-38120000	mouse_union_93104	L5_ET
chr12-36340000-36350000	chr12-37590000-37600000	mouse_union_93105	L5_ET
chr12-36370000-36380000	chr12-37430000-37440000	mouse_union_93106	L4_5_IT
chr12-36370000-36380000	chr12-37450000-37460000	mouse_union_93107	PVALB
chr12-36380000-36390000	chr12-36440000-36450000	mouse_union_93108	L2_3_IT, L4_5_IT, L6_CT
chr12-36380000-36390000	chr12-36450000-36460000	mouse_union_93109	ODC, VIP
chr12-36380000-36390000	chr12-36460000-36470000	mouse_union_93110	SST
chr12-36380000-36390000	chr12-36510000-36520000	mouse_union_93111	ODC
chr12-36380000-36390000	chr12-36550000-36560000	mouse_union_93112	L4_5_IT
chr12-36380000-36390000	chr12-36560000-36570000	mouse_union_93113	L6_IT
chr12-36380000-36390000	chr12-36570000-36580000	mouse_union_93114	L6_CT
chr12-36380000-36390000	chr12-37600000-37610000	mouse_union_93115	L5_ET
chr12-36390000-36400000	chr12-38110000-38120000	mouse_union_93116	L5_ET
chr12-36400000-36410000	chr12-36520000-36530000	mouse_union_93117	VIP
chr12-36410000-36420000	chr12-36470000-36480000	mouse_union_93118	L5_IT
chr12-36430000-36440000	chr12-36590000-36600000	mouse_union_93119	VIP
chr12-36440000-36450000	chr12-36540000-36550000	mouse_union_93120	L6_CT
chr12-36440000-36450000	chr12-36550000-36560000	mouse_union_93121	ASC
chr12-36450000-36460000	chr12-36520000-36530000	mouse_union_93122	L6_IT
chr12-36450000-36460000	chr12-38100000-38110000	mouse_union_93123	L5_ET
chr12-36510000-36520000	chr12-36570000-36580000	mouse_union_93128	ODC
chr12-36520000-36530000	chr12-36580000-36590000	mouse_union_93129	L2_3_IT
chr12-36520000-36530000	chr12-36600000-36610000	mouse_union_93130	L5_ET, VIP
chr12-36520000-36530000	chr12-38100000-38110000	mouse_union_93131	L5_ET
chr12-36530000-36540000	chr12-36590000-36600000	mouse_union_93132	L5_6_NP
chr12-36530000-36540000	chr12-36600000-36610000	mouse_union_93133	ASC
chr12-36540000-36550000	chr12-36600000-36610000	mouse_union_93134	L6_IT
chr12-36580000-36590000	chr12-37460000-37470000	mouse_union_93135	PVALB
chr12-36780000-36790000	chr12-36840000-36850000	mouse_union_93148	PVALB
chr12-36780000-36790000	chr12-36850000-36860000	mouse_union_93149	L5_IT
chr12-36780000-36790000	chr12-37110000-37120000	mouse_union_93150	L6_CT
chr12-36780000-36790000	chr12-37460000-37470000	mouse_union_93151	PVALB
chr12-36780000-36790000	chr12-37870000-37880000	mouse_union_93152	L5_IT
chr12-36780000-36790000	chr12-38110000-38120000	mouse_union_93153	L5_IT
chr12-36780000-36790000	chr12-39490000-39500000	mouse_union_93154	L6_CT
chr12-36800000-36810000	chr12-37090000-37100000	mouse_union_93164	L6_IT
chr12-36810000-36820000	chr12-37450000-37460000	mouse_union_93165	L5_IT
chr12-36820000-36830000	chr12-37450000-37460000	mouse_union_93166	Endo
chr12-36820000-36830000	chr12-37710000-37720000	mouse_union_93167	L5_ET
chr12-36820000-36830000	chr12-37750000-37760000	mouse_union_93168	L6_IT
chr12-36820000-36830000	chr12-38100000-38110000	mouse_union_93169	L2_3_IT
chr12-36830000-36840000	chr12-37090000-37100000	mouse_union_93170	L4_5_IT
chr12-36830000-36840000	chr12-37430000-37440000	mouse_union_93171	SST
chr12-36830000-36840000	chr12-37580000-37590000	mouse_union_93172	L6_IT
chr12-36830000-36840000	chr12-38000000-38010000	mouse_union_93173	L6_CT
chr12-36830000-36840000	chr12-38100000-38110000	mouse_union_93174	L6_CT, PVALB
chr12-36830000-36840000	chr12-38110000-38120000	mouse_union_93175	L5_ET
chr12-36840000-36850000	chr12-37460000-37470000	mouse_union_93176	PVALB
chr12-36840000-36850000	chr12-38100000-38110000	mouse_union_93177	L5_6_NP
chr12-36840000-36850000	chr12-38110000-38120000	mouse_union_93178	L6_IT
chr12-36840000-36850000	chr12-39490000-39500000	mouse_union_93179	L6_IT
chr12-36860000-36870000	chr12-37110000-37120000	mouse_union_93180	L6_IT
chr12-36860000-36870000	chr12-38110000-38120000	mouse_union_93181	L5_IT
chr12-37040000-37050000	chr12-38110000-38120000	mouse_union_93194	L2_3_IT, OPC
chr12-37040000-37050000	chr12-39490000-39500000	mouse_union_93195	L5_IT
chr12-37050000-37060000	chr12-37560000-37570000	mouse_union_93196	L5_IT
chr12-37060000-37070000	chr12-37440000-37450000	mouse_union_93197	L5_IT, L6_IT
chr12-37060000-37070000	chr12-37580000-37590000	mouse_union_93198	L6_IT
chr12-37060000-37070000	chr12-38100000-38110000	mouse_union_93199	L5_ET
chr12-37070000-37080000	chr12-37450000-37460000	mouse_union_93200	L6_CT, LAMP5
chr12-37070000-37080000	chr12-38110000-38120000	mouse_union_93201	LAMP5
chr12-37080000-37090000	chr12-37450000-37460000	mouse_union_93202	L4_5_IT
chr12-37080000-37090000	chr12-37570000-37580000	mouse_union_93203	L2_3_IT
chr12-37080000-37090000	chr12-37630000-37640000	mouse_union_93204	L2_3_IT, OPC
chr12-37080000-37090000	chr12-37780000-37790000	mouse_union_93205	L5_IT
chr12-37080000-37090000	chr12-37870000-37880000	mouse_union_93206	L5_IT
chr12-37080000-37090000	chr12-38110000-38120000	mouse_union_93207	L2_3_IT, L5_IT
chr12-37090000-37100000	chr12-37320000-37330000	mouse_union_93208	L5_IT
chr12-37090000-37100000	chr12-37430000-37440000	mouse_union_93209	L5_IT
chr12-37090000-37100000	chr12-37440000-37450000	mouse_union_93210	ASC, L2_3_IT, OPC
chr12-37090000-37100000	chr12-37450000-37460000	mouse_union_93211	Endo, MGC, ODC
chr12-37090000-37100000	chr12-37630000-37640000	mouse_union_93212	ASC
chr12-37090000-37100000	chr12-37750000-37760000	mouse_union_93213	L5_IT
chr12-37090000-37100000	chr12-38020000-38030000	mouse_union_93214	L5_IT
chr12-37090000-37100000	chr12-38110000-38120000	mouse_union_93215	L6_CT, L6_IT, VIP
chr12-37100000-37110000	chr12-37430000-37440000	mouse_union_93218	VIP
chr12-37100000-37110000	chr12-37560000-37570000	mouse_union_93219	VIP
chr12-37100000-37110000	chr12-37710000-37720000	mouse_union_93220	VIP
chr12-37100000-37110000	chr12-39490000-39500000	mouse_union_93221	L6_CT, L6_IT
chr12-37110000-37120000	chr12-38100000-38110000	mouse_union_93222	L5_ET
chr12-37280000-37290000	chr12-37410000-37420000	mouse_union_93223	L5_IT
chr12-37280000-37290000	chr12-37440000-37450000	mouse_union_93224	Endo
chr12-37280000-37290000	chr12-38110000-38120000	mouse_union_93225	L5_IT, L6_IT
chr12-37280000-37290000	chr12-39480000-39490000	mouse_union_93226	L5_IT
chr12-37290000-37300000	chr12-40150000-40160000	mouse_union_93227	L5_6_NP
chr12-37310000-37320000	chr12-37410000-37420000	mouse_union_93228	L5_IT
chr12-37320000-37330000	chr12-38100000-38110000	mouse_union_93229	L5_IT
chr12-37330000-37340000	chr12-39480000-39490000	mouse_union_93230	L5_IT
chr12-37350000-37360000	chr12-38090000-38100000	mouse_union_93231	L5_ET
chr12-37380000-37390000	chr12-39490000-39500000	mouse_union_93232	L5_ET
chr12-37390000-37400000	chr12-39480000-39490000	mouse_union_93233	L5_IT
chr12-37460000-37470000	chr12-38100000-38110000	mouse_union_93234	L6_CT, L6_IT
chr12-37460000-37470000	chr12-38110000-38120000	mouse_union_93235	L2_3_IT
chr12-37460000-37470000	chr12-39490000-39500000	mouse_union_93236	L6_IT
chr12-37470000-37480000	chr12-38110000-38120000	mouse_union_93237	L5_IT
chr12-37470000-37480000	chr12-39480000-39490000	mouse_union_93238	OPC
chr12-37480000-37490000	chr12-38100000-38110000	mouse_union_93239	L5_ET
chr12-37480000-37490000	chr12-39490000-39500000	mouse_union_93240	L5_ET
chr12-37490000-37500000	chr12-37870000-37880000	mouse_union_93241	L5_IT
chr12-37500000-37510000	chr12-39490000-39500000	mouse_union_93242	L6_CT, L6_IT
chr12-37560000-37570000	chr12-37760000-37770000	mouse_union_93243	L5_IT
chr12-37560000-37570000	chr12-38100000-38110000	mouse_union_93244	L5_IT
chr12-37560000-37570000	chr12-39480000-39490000	mouse_union_93245	L5_IT
chr12-37570000-37580000	chr12-38000000-38010000	mouse_union_93246	L6_CT
chr12-37570000-37580000	chr12-38100000-38110000	mouse_union_93247	L5_6_NP
chr12-37570000-37580000	chr12-38110000-38120000	mouse_union_93248	L2_3_IT, L6_IT
chr12-37570000-37580000	chr12-39200000-39210000	mouse_union_93249	L5_6_NP
chr12-37600000-37610000	chr12-38000000-38010000	mouse_union_93252	L6_CT
chr12-37600000-37610000	chr12-38110000-38120000	mouse_union_93253	L5_IT
chr12-37600000-37610000	chr12-39490000-39500000	mouse_union_93254	L6_CT
chr12-37600000-37610000	chr12-40070000-40080000	mouse_union_93255	L6_CT
chr12-37620000-37630000	chr12-39490000-39500000	mouse_union_93256	L5_ET
chr12-37630000-37640000	chr12-37760000-37770000	mouse_union_93257	L5_IT
chr12-37630000-37640000	chr12-37870000-37880000	mouse_union_93258	L5_IT
chr12-37630000-37640000	chr12-37990000-38000000	mouse_union_93259	L6_CT
chr12-37630000-37640000	chr12-38020000-38030000	mouse_union_93260	L5_IT
chr12-37630000-37640000	chr12-38100000-38110000	mouse_union_93261	L4_5_IT, L5_ET, L6_CT
chr12-37630000-37640000	chr12-38110000-38120000	mouse_union_93262	L2_3_IT
chr12-37630000-37640000	chr12-39480000-39490000	mouse_union_93263	L2_3_IT
chr12-37630000-37640000	chr12-39490000-39500000	mouse_union_93264	L6_IT, LAMP5
chr12-37630000-37640000	chr12-40060000-40070000	mouse_union_93265	L6b
chr12-37630000-37640000	chr12-40080000-40090000	mouse_union_93266	L4_5_IT
chr12-37630000-37640000	chr12-40160000-40170000	mouse_union_93267	L5_ET, L6_CT
chr12-37640000-37650000	chr12-38110000-38120000	mouse_union_93268	L6_IT
chr12-37640000-37650000	chr12-39460000-39470000	mouse_union_93269	PVALB
chr12-37640000-37650000	chr12-39490000-39500000	mouse_union_93270	L4_5_IT, L5_IT
chr12-37640000-37650000	chr12-40160000-40170000	mouse_union_93271	L4_5_IT
chr12-37650000-37660000	chr12-39490000-39500000	mouse_union_93272	OPC
chr12-37670000-37680000	chr12-38090000-38100000	mouse_union_93273	L5_6_NP
chr12-37680000-37690000	chr12-37980000-37990000	mouse_union_93274	L6b
chr12-37680000-37690000	chr12-40160000-40170000	mouse_union_93275	L6_CT
chr12-37690000-37700000	chr12-38100000-38110000	mouse_union_93276	L5_ET, LAMP5
chr12-37700000-37710000	chr12-38010000-38020000	mouse_union_93279	VIP
chr12-37700000-37710000	chr12-39480000-39490000	mouse_union_93280	ASC, L2_3_IT
chr12-37700000-37710000	chr12-39510000-39520000	mouse_union_93281	L6_CT
chr12-37700000-37710000	chr12-40160000-40170000	mouse_union_93282	L4_5_IT
chr12-37720000-37730000	chr12-39490000-39500000	mouse_union_93283	SST
chr12-37730000-37740000	chr12-39490000-39500000	mouse_union_93284	L5_IT
chr12-37740000-37750000	chr12-39470000-39480000	mouse_union_93285	L6b
chr12-37740000-37750000	chr12-40050000-40060000	mouse_union_93286	SST
chr12-37750000-37760000	chr12-39190000-39200000	mouse_union_93287	L6_IT
chr12-37750000-37760000	chr12-39490000-39500000	mouse_union_93288	L6_IT
chr12-37760000-37770000	chr12-37900000-37910000	mouse_union_93289	L5_6_NP
chr12-37760000-37770000	chr12-38100000-38110000	mouse_union_93290	L5_ET, L5_IT
chr12-37760000-37770000	chr12-38860000-38870000	mouse_union_93291	L5_6_NP
chr12-37760000-37770000	chr12-39030000-39040000	mouse_union_93292	L5_6_NP
chr12-37760000-37770000	chr12-39490000-39500000	mouse_union_93293	L5_6_NP
chr12-37760000-37770000	chr12-39620000-39630000	mouse_union_93294	PVALB
chr12-37760000-37770000	chr12-40150000-40160000	mouse_union_93295	L6_CT
chr12-37760000-37770000	chr12-40160000-40170000	mouse_union_93296	L5_6_NP, OPC
chr12-37770000-37780000	chr12-37870000-37880000	mouse_union_93297	L5_IT
chr12-37770000-37780000	chr12-37880000-37890000	mouse_union_93298	L2_3_IT
chr12-37770000-37780000	chr12-37970000-37980000	mouse_union_93299	L5_IT
chr12-37770000-37780000	chr12-37990000-38000000	mouse_union_93300	L6_IT
chr12-37770000-37780000	chr12-38000000-38010000	mouse_union_93301	L2_3_IT, L6_CT
chr12-37770000-37780000	chr12-38010000-38020000	mouse_union_93302	ASC, L4_5_IT
chr12-37770000-37780000	chr12-38100000-38110000	mouse_union_93303	ASC, L2_3_IT, L4_5_IT, L5_6_NP, L6_CT, L6_IT, LAMP5, PVALB, SST
chr12-37770000-37780000	chr12-38110000-38120000	mouse_union_93304	OPC, VIP
chr12-37770000-37780000	chr12-38770000-38780000	mouse_union_93305	OPC
chr12-37770000-37780000	chr12-38870000-38880000	mouse_union_93306	OPC
chr12-37770000-37780000	chr12-38950000-38960000	mouse_union_93307	L5_6_NP
chr12-37770000-37780000	chr12-39090000-39100000	mouse_union_93308	OPC
chr12-37770000-37780000	chr12-39200000-39210000	mouse_union_93309	OPC
chr12-37770000-37780000	chr12-39320000-39330000	mouse_union_93310	OPC
chr12-37770000-37780000	chr12-39330000-39340000	mouse_union_93311	L4_5_IT
